,library,jsonFileName,signature,name,targetClass,equivalence.comment,equivalence.kind,equivalence.condition
18,gwt,com.google.gwt.i18n.shared.BidiFormatter_goal.json,"spanWrapWithKnownDir(com.google.gwt.i18n.client.HasDirection$Direction dir, java.lang.String str, boolean isHtml)",spanWrapWithKnownDir,com.google.gwt.i18n.shared.BidiFormatter,"Like #spanWrapWithKnownDir(com.google.gwt.i18n.client.HasDirection.Direction, String, boolean, boolean), but assumes dirReset is true.",FreeText,"methodResultID.equals(spanWrapWithKnownDir(args[0], args[1], args[2], true))"
19,gwt,com.google.gwt.i18n.shared.BidiFormatter_goal.json,dirAttr(java.lang.String str),dirAttr,com.google.gwt.i18n.shared.BidiFormatter,"Like #dirAttr(String, boolean), but assumes isHtml is false.",FreeText,"methodResultID.equals(dirAttr(args[0], false)"
20,gwt,com.google.gwt.i18n.shared.BidiFormatter_goal.json,spanWrap(java.lang.String str),spanWrap,com.google.gwt.i18n.shared.BidiFormatter,"Like #spanWrap(String, boolean, boolean), but assumes isHtml is false and dirReset is true.",FreeText,"methodResultID.equals(spanWrap(args[0], false, true))"
21,gwt,com.google.gwt.i18n.shared.BidiFormatter_goal.json,"unicodeWrap(java.lang.String str, boolean isHtml)",unicodeWrap,com.google.gwt.i18n.shared.BidiFormatter,"Like #unicodeWrap(String, boolean, boolean), but assumes dirReset is true.",FreeText,"methodResultID.equals(unicodeWrap(args[0], args[1], true))"
22,gwt,com.google.gwt.i18n.shared.BidiFormatter_goal.json,unicodeWrap(java.lang.String str),unicodeWrap,com.google.gwt.i18n.shared.BidiFormatter,"Like #unicodeWrap(String, boolean, boolean), but assumes isHtml is false and dirReset is true.",FreeText,"methodResultID.equals(unicodeWrap(args[0], false, true))"
23,gwt,com.google.gwt.i18n.shared.BidiUtils_goal.json,startsWithRtl(java.lang.String str),startsWithRtl,com.google.gwt.i18n.shared.BidiUtils,"Like #startsWithRtl(String, boolean), but assumes str is not HTML / HTML-escaped.",FreeText,"methodResultID==(startsWithRtl(args[0], false))"
24,gwt,com.google.gwt.i18n.shared.BidiUtils_goal.json,startsWithLtr(java.lang.String str),startsWithLtr,com.google.gwt.i18n.shared.BidiUtils,"Like #startsWithLtr(String, boolean), but assumes str is not HTML / HTML-escaped.",FreeText,"methodResultID.equals(startsWithLtr(args[0], false))"
25,gwt,com.google.gwt.i18n.shared.BidiUtils_goal.json,estimateDirection(java.lang.String str),estimateDirection,com.google.gwt.i18n.shared.BidiUtils,"Like #estimateDirection(String, boolean), but assumes str is not HTML / HTML-escaped.",FreeText,"methodResultID.equals(estimateDirection(args[0], false))"
26,gwt,com.google.gwt.i18n.shared.BidiUtils_goal.json,endsWithRtl(java.lang.String str),endsWithRtl,com.google.gwt.i18n.shared.BidiUtils,"Like #endsWithRtl(String, boolean), but assumes str is not HTML / HTML-escaped.",FreeText,"methodResultID.equals(endsWithRtl(args[0], false))"
27,gwt,com.google.gwt.i18n.shared.BidiUtils_goal.json,endsWithLtr(java.lang.String str),endsWithLtr,com.google.gwt.i18n.shared.BidiUtils,"Like #endsWithLtr(String, boolean), but assumes str is not HTML / HTML-escaped.",FreeText,"methodResultID.equals(endsWithLtr(args[0], false))"
28,gwt,com.google.gwt.i18n.shared.BidiUtils_goal.json,hasAnyRtl(java.lang.String str),hasAnyRtl,com.google.gwt.i18n.shared.BidiUtils,"Like #hasAnyRtl(String, boolean), but assumes str is not HTML / HTML-escaped.",FreeText,"methodResultID.equals(hasAnyRtl(args[0], false))"
29,gwt,com.google.gwt.i18n.shared.BidiUtils_goal.json,hasAnyLtr(java.lang.String str),hasAnyLtr,com.google.gwt.i18n.shared.BidiUtils,"Like #hasAnyLtr(String, boolean), but assumes str is not HTML / HTML-escaped.",FreeText,"methodResultID==(hasAnyLtr(args[0], false))"
30,gwt,com.google.gwt.regexp.shared.RegExp_goal.json,test(java.lang.String input),test,com.google.gwt.regexp.shared.RegExp,Determines if the regular expression matches the given string. This call affects the value returned by #getLastIndex() if the global flag is set. Equivalent to: exec(input) != null,FreeText,methodResultID==( receiverObjectClone.exec(args[0]) != null )
31,gwt,com.google.gwt.safecss.shared.SafeStyles_goal.json,hashCode(),hashCode,com.google.gwt.safecss.shared.SafeStyles,Returns a hash code for this string. Must be equal to asString().hashCode().,FreeText,methodResultID==(receiverObjectClone.asString().hashCode())
32,gwt,com.google.gwt.safehtml.shared.SafeHtml_goal.json,hashCode(),hashCode,com.google.gwt.safehtml.shared.SafeHtml,Returns a hash code for this string. Must be equal to asString().hashCode().,FreeText,methodResultID==(receiverObjectClone.asString().hashCode())
33,gwt,com.google.gwt.safehtml.shared.SafeUri_goal.json,hashCode(),hashCode,com.google.gwt.safehtml.shared.SafeUri,Returns a hash code for this string. Must be equal to asString().hashCode().,FreeText,methodResultID==(receiverObjectClone.asString().hashCode())
34,gwt,com.google.gwt.user.client.ui.ListBox_goal.json,"insertItem(java.lang.String item, com.google.gwt.i18n.client.HasDirection$Direction dir, int index)",insertItem,com.google.gwt.user.client.ui.ListBox,"Inserts an item into the list box, specifying its direction. Has the same effect as  insertItem(item, dir, item, index)",FreeText,"receiverObjectClone.insertItem(args[0],args[1],args[0], args[2]); receiverObjectClone.equals(receiverObjectID)"
35,gwt,com.google.gwt.user.client.ui.ListBox_goal.json,"insertItem(java.lang.String item, java.lang.String value, int index)",insertItem,com.google.gwt.user.client.ui.ListBox,"Inserts an item into the list box, specifying an initial value for the item. Has the same effect as  insertItem(item, null, value, index)",FreeText,"receiverObjectClone.insertItem(args[0],null,args[1],args[2]); receiverObjectClone.equals(receiverObjectID)"
36,gwt,com.google.gwt.user.client.ui.ListBox_goal.json,addItem(java.lang.String item),addItem,com.google.gwt.user.client.ui.ListBox,"Adds an item to the list box. This method has the same effect as  addItem(item, item)",FreeText,"receiverObjectClone.addItem(args[0], args[0]); receiverObjectClone.equals(receiverObjectID)"
37,gwt,com.google.gwt.user.client.ui.ListBox_goal.json,"insertItem(java.lang.String item, int index)",insertItem,com.google.gwt.user.client.ui.ListBox,"Inserts an item into the list box. Has the same effect as  insertItem(item, item, index)",FreeText,"receiverObjectClone.insertItem(args[0],args[0],args[1]); receiverObjectClone.equals(receiverObjectID)"
38,gwt,com.google.gwt.user.client.ui.ListBox_goal.json,"addItem(java.lang.String item, com.google.gwt.i18n.client.HasDirection$Direction dir)",addItem,com.google.gwt.user.client.ui.ListBox,"Adds an item to the list box, specifying its direction. This method has the same effect as  addItem(item, dir, item)",FreeText,"receiverObjectClone.addItem(args[0],args[1],args[0]); receiverObjectClone.equals(receiverObjectID)"
39,gwt,com.google.gwt.user.server.rpc.RPC_goal.json,decodeRequest(java.lang.String encodedRequest),decodeRequest,com.google.gwt.user.server.rpc.RPC,"Returns an RPCRequest that is built by decoding the contents of an encoded RPC request.  This method is equivalent to calling #decodeRequest(String, Class) with null for the type parameter.",FreeText,"methodResultID.equals(receiverObjectID.decodeRequest(args[0], null))"
40,gwt,com.google.gwt.user.server.rpc.RPC_goal.json,"decodeRequest(java.lang.String encodedRequest, java.lang.Class<?> type, com.google.gwt.user.server.rpc.SerializationPolicyProvider serializationPolicyProvider)",decodeRequest,com.google.gwt.user.server.rpc.RPC,"Returns an RPCRequest that is built by decoding the contents of an encoded RPC request and optionally validating that type can handle the request. If the type parameter is not null, the implementation checks that the type is assignable to the RemoteService interface requested in the encoded request string.  If the serializationPolicyProvider parameter is not null, it is asked for a SerializationPolicy to use to restrict the set of types that can be decoded from the request. If this parameter is null, then only subtypes of com.google.gwt.user.client.rpc.IsSerializable IsSerializable or types which have custom field serializers can be decoded.   Invoking this method with null for the type parameter, decodeRequest(encodedRequest, null), is equivalent to calling decodeRequest(encodedRequest).",FreeText,"decodeRequest(args[0], null).equals(decodeRequest(args[0]))"
41,gwt,com.google.gwt.user.server.rpc.RPC_goal.json,"decodeRequest(java.lang.String encodedRequest, java.lang.Class<?> type)",decodeRequest,com.google.gwt.user.server.rpc.RPC,"Returns an RPCRequest that is built by decoding the contents of an encoded RPC request and optionally validating that type can handle the request. If the type parameter is not null, the implementation checks that the type is assignable to the RemoteService interface requested in the encoded request string.  Invoking this method with null for the type parameter, decodeRequest(encodedRequest, null), is equivalent to calling decodeRequest(encodedRequest).",FreeText,methodResultID.equals(com.google.gwt.user.server.rpc.RPC.decodeRequest(args[0]))
42,gwt,com.google.web.bindery.autobean.vm.impl.TypeUtils_goal.json,ensureBaseType(java.lang.reflect.Type type),ensureBaseType,com.google.web.bindery.autobean.vm.impl.TypeUtils,Similar to ModelUtils#ensureBaseType(JType) but for the reflection API.,FreeText,methodResultID.equals(ModelUtils.ensureBaseType(args[0]))
43,gwt,com.google.web.bindery.requestfactory.shared.testing.FakeRequestFactory_goal.json,initialize(com.google.web.bindery.event.shared.EventBus eventBus),initialize,com.google.web.bindery.requestfactory.shared.testing.FakeRequestFactory,"Equivalent to initialize(eventBus, new FakeRequestTransport()).",FreeText,"methodResultID.equals(receiverObjectID.initialize(args[0], new FakeRequestTransport()))"
