,library,jsonFileName,signature,name,targetClass,equivalence.comment,equivalence.kind,equivalence.condition,EMR
13,colt,cern.colt.matrix.DoubleMatrix2D_goal.json,"get(int row, int column)",get,cern.colt.matrix.DoubleMatrix2D,"Returns the matrix cell value at coordinate [row,column].",FreeText,,0
14,colt,cern.colt.matrix.DoubleMatrix2D_goal.json,getContent(),getContent,cern.colt.matrix.DoubleMatrix2D,Returns the content of this matrix if it is a wrapper; or this otherwise. Override this method in wrappers.,FreeText,,0
15,colt,cern.colt.matrix.DoubleMatrix2D_goal.json,"getNonZeros(cern.colt.list.IntArrayList rowList, cern.colt.list.IntArrayList columnList, cern.colt.list.DoubleArrayList valueList)",getNonZeros,cern.colt.matrix.DoubleMatrix2D,,FreeText,,0
16,colt,cern.colt.matrix.DoubleMatrix2D_goal.json,"getQuick(int row, int column)",getQuick,cern.colt.matrix.DoubleMatrix2D,"Returns the matrix cell value at coordinate [row,column]. Provided with invalid parameters this method may return invalid objects without throwing any exception. You should only use this method when you are absolutely sure that the coordinate is within bounds. Precondition (unchecked): 0 <= column < columns() && 0 <= row < rows().",FreeText,,0
17,colt,cern.colt.matrix.DoubleMatrix2D_goal.json,haveSharedCells(cern.colt.matrix.DoubleMatrix2D other),haveSharedCells,cern.colt.matrix.DoubleMatrix2D,Returns true if both matrices share at least one identical cell.,FreeText,,0
18,colt,cern.colt.matrix.DoubleMatrix2D_goal.json,haveSharedCellsRaw(cern.colt.matrix.DoubleMatrix2D other),haveSharedCellsRaw,cern.colt.matrix.DoubleMatrix2D,Returns true if both matrices share at least one identical cell.,FreeText,,0
19,colt,cern.colt.matrix.DoubleMatrix2D_goal.json,like(),like,cern.colt.matrix.DoubleMatrix2D,"Construct and returns a new empty matrix of the same dynamic type as the receiver, having the same number of rows and columns. For example, if the receiver is an instance of type DenseDoubleMatrix2D the new matrix must also be of type DenseDoubleMatrix2D, if the receiver is an instance of type SparseDoubleMatrix2D the new matrix must also be of type SparseDoubleMatrix2D, etc. In general, the new matrix should have internal parametrization as similar as possible.",FreeText,,0
20,colt,cern.colt.matrix.DoubleMatrix2D_goal.json,"like(int rows, int columns)",like,cern.colt.matrix.DoubleMatrix2D,"Construct and returns a new empty matrix of the same dynamic type as the receiver, having the specified number of rows and columns. For example, if the receiver is an instance of type DenseDoubleMatrix2D the new matrix must also be of type DenseDoubleMatrix2D, if the receiver is an instance of type SparseDoubleMatrix2D the new matrix must also be of type SparseDoubleMatrix2D, etc. In general, the new matrix should have internal parametrization as similar as possible.",FreeText,,0
21,colt,cern.colt.matrix.DoubleMatrix2D_goal.json,like1D(int size),like1D,cern.colt.matrix.DoubleMatrix2D,"Construct and returns a new 1-d matrix of the corresponding dynamic type, entirelly independent of the receiver. For example, if the receiver is an instance of type DenseDoubleMatrix2D the new matrix must be of type DenseDoubleMatrix1D, if the receiver is an instance of type SparseDoubleMatrix2D the new matrix must be of type SparseDoubleMatrix1D, etc.",FreeText,,0
22,colt,cern.colt.matrix.DoubleMatrix2D_goal.json,"like1D(int size, int zero, int stride)",like1D,cern.colt.matrix.DoubleMatrix2D,"Construct and returns a new 1-d matrix of the corresponding dynamic type, sharing the same cells. For example, if the receiver is an instance of type DenseDoubleMatrix2D the new matrix must be of type DenseDoubleMatrix1D, if the receiver is an instance of type SparseDoubleMatrix2D the new matrix must be of type SparseDoubleMatrix1D, etc.",FreeText,,0
23,colt,cern.colt.matrix.DoubleMatrix2D_goal.json,"set(int row, int column, double value)",set,cern.colt.matrix.DoubleMatrix2D,"Sets the matrix cell at coordinate [row,column] to the specified value.",FreeText,,0
24,colt,cern.colt.matrix.DoubleMatrix2D_goal.json,"setQuick(int row, int column, double value)",setQuick,cern.colt.matrix.DoubleMatrix2D,"Sets the matrix cell at coordinate [row,column] to the specified value. Provided with invalid parameters this method may access illegal indexes without throwing any exception. You should only use this method when you are absolutely sure that the coordinate is within bounds. Precondition (unchecked): 0 <= column < columns() && 0 <= row < rows().",FreeText,,0
25,colt,cern.colt.matrix.DoubleMatrix2D_goal.json,toArray(),toArray,cern.colt.matrix.DoubleMatrix2D,"Constructs and returns a 2-dimensional array containing the cell values. The returned array values has the form values[row][column] and has the same number of rows and columns as the receiver.  The values are copied. So subsequent changes in values are not reflected in the matrix, and vice-versa.",FreeText,,0
26,colt,cern.colt.matrix.DoubleMatrix2D_goal.json,toString(),toString,cern.colt.matrix.DoubleMatrix2D,Returns a string representation using default formatting. @see cern.colt.matrix.doublealgo.Formatter,FreeText,,0
27,colt,cern.colt.matrix.DoubleMatrix2D_goal.json,view(),view,cern.colt.matrix.DoubleMatrix2D,"Constructs and returns a new view equal to the receiver. The view is a shallow clone. Calls clone() and casts the result.  Note that the view is not a deep copy. The returned matrix is backed by this matrix, so changes in the returned matrix are reflected in this matrix, and vice-versa.  Use #copy() to construct an independent deep copy rather than a new view.",FreeText,,0
28,colt,cern.colt.matrix.DoubleMatrix2D_goal.json,viewColumn(int column),viewColumn,cern.colt.matrix.DoubleMatrix2D,,FreeText,,0
29,colt,cern.colt.matrix.DoubleMatrix2D_goal.json,viewColumnFlip(),viewColumnFlip,cern.colt.matrix.DoubleMatrix2D,,FreeText,,0
30,colt,cern.colt.matrix.DoubleMatrix2D_goal.json,viewDice(),viewDice,cern.colt.matrix.DoubleMatrix2D,,FreeText,,0
31,colt,cern.colt.matrix.DoubleMatrix2D_goal.json,"viewPart(int row, int column, int height, int width)",viewPart,cern.colt.matrix.DoubleMatrix2D,,FreeText,,0
32,colt,cern.colt.matrix.DoubleMatrix2D_goal.json,viewRow(int row),viewRow,cern.colt.matrix.DoubleMatrix2D,,FreeText,,0
33,colt,cern.colt.matrix.DoubleMatrix2D_goal.json,viewRowFlip(),viewRowFlip,cern.colt.matrix.DoubleMatrix2D,,FreeText,,0
34,colt,cern.colt.matrix.DoubleMatrix2D_goal.json,"viewSelection(int[] rowIndexes, int[] columnIndexes)",viewSelection,cern.colt.matrix.DoubleMatrix2D,,FreeText,,0
35,colt,cern.colt.matrix.DoubleMatrix2D_goal.json,viewSelection(cern.colt.matrix.DoubleMatrix1DProcedure condition),viewSelection,cern.colt.matrix.DoubleMatrix2D,,FreeText,,0
36,colt,cern.colt.matrix.DoubleMatrix2D_goal.json,"viewSelectionLike(int[] rowOffsets, int[] columnOffsets)",viewSelectionLike,cern.colt.matrix.DoubleMatrix2D,Construct and returns a new selection view.,FreeText,,0
37,colt,cern.colt.matrix.DoubleMatrix2D_goal.json,viewSorted(int column),viewSorted,cern.colt.matrix.DoubleMatrix2D,,FreeText,,0
38,colt,cern.colt.matrix.DoubleMatrix2D_goal.json,"viewStrides(int rowStride, int columnStride)",viewStrides,cern.colt.matrix.DoubleMatrix2D,,FreeText,,0
39,colt,cern.colt.matrix.DoubleMatrix2D_goal.json,"zAssign8Neighbors(cern.colt.matrix.DoubleMatrix2D B, cern.colt.function.Double9Function function)",zAssign8Neighbors,cern.colt.matrix.DoubleMatrix2D,,FreeText,,0
40,colt,cern.colt.matrix.DoubleMatrix2D_goal.json,"zMult(cern.colt.matrix.DoubleMatrix1D y, cern.colt.matrix.DoubleMatrix1D z)",zMult,cern.colt.matrix.DoubleMatrix2D,"Linear algebraic matrix-vector multiplication; z = A * y; Equivalent to return A.zMult(y,z,1,0);",FreeText,"methodResultID.equals(receiverObjectClone.zMult(args[0],args[1],1,0))",1
41,colt,cern.colt.matrix.DoubleMatrix2D_goal.json,"zMult(cern.colt.matrix.DoubleMatrix1D y, cern.colt.matrix.DoubleMatrix1D z, double alpha, double beta, boolean transposeA)",zMult,cern.colt.matrix.DoubleMatrix2D,"Linear algebraic matrix-vector multiplication; z = alpha * A * y + beta*z. z[i] = alpha*Sum(A[i,j] * y[j]) + beta*z[i], i=0..A.rows()-1, j=0..y.size()-1. Where A == this. <br> Note: Matrix shape conformance is checked after potential transpositions.",FreeText,,0
42,colt,cern.colt.matrix.DoubleMatrix2D_goal.json,"zMult(cern.colt.matrix.DoubleMatrix2D B, cern.colt.matrix.DoubleMatrix2D C)",zMult,cern.colt.matrix.DoubleMatrix2D,"Linear algebraic matrix-matrix multiplication; C = A x B; Equivalent to A.zMult(B,C,1,0,false,false).",FreeText,"methodResultID.equals(receiverObjectClone.zMult(args[0],args[1],1,0,false,false))",1
43,colt,cern.colt.matrix.DoubleMatrix2D_goal.json,"zMult(cern.colt.matrix.DoubleMatrix2D B, cern.colt.matrix.DoubleMatrix2D C, double alpha, double beta, boolean transposeA, boolean transposeB)",zMult,cern.colt.matrix.DoubleMatrix2D,"Linear algebraic matrix-matrix multiplication; C = alpha * A x B + beta*C. C[i,j] = alpha*Sum(A[i,k] * B[k,j]) + beta*C[i,j], k=0..n-1. <br> Matrix shapes: A(m x n), B(n x p), C(m x p). <br> Note: Matrix shape conformance is checked after potential transpositions.",FreeText,,0
44,colt,cern.colt.matrix.DoubleMatrix2D_goal.json,zSum(),zSum,cern.colt.matrix.DoubleMatrix2D,"Returns the sum of all cells; Sum( x[i,j] ).",FreeText,,0
45,colt,cern.colt.matrix.linalg.Algebra_goal.json,cern.colt.matrix.linalg.Algebra(),cern.colt.matrix.linalg.Algebra,cern.colt.matrix.linalg.Algebra,Constructs a new instance with an equality tolerance given by Property.DEFAULT.tolerance().,FreeText,,0
46,colt,cern.colt.matrix.linalg.Algebra_goal.json,cern.colt.matrix.linalg.Algebra(double tolerance),cern.colt.matrix.linalg.Algebra,cern.colt.matrix.linalg.Algebra,Constructs a new instance with the given equality tolerance.,FreeText,,0
47,colt,cern.colt.matrix.linalg.Algebra_goal.json,clone(),clone,cern.colt.matrix.linalg.Algebra,"Returns a copy of the receiver. The attached property object is also copied. Hence, the property object of the copy is mutable.",FreeText,,0
48,colt,cern.colt.matrix.linalg.Algebra_goal.json,cond(cern.colt.matrix.DoubleMatrix2D A),cond,cern.colt.matrix.linalg.Algebra,"Returns the condition of matrix A, which is the ratio of largest to smallest singular value.",FreeText,,0
49,colt,cern.colt.matrix.linalg.Algebra_goal.json,det(cern.colt.matrix.DoubleMatrix2D A),det,cern.colt.matrix.linalg.Algebra,Returns the determinant of matrix A.,FreeText,,0
50,colt,cern.colt.matrix.linalg.Algebra_goal.json,"hypot(double a, double b)",hypot,cern.colt.matrix.linalg.Algebra,Returns sqrt(a^2 + b^2) without under/overflow.,FreeText,,0
51,colt,cern.colt.matrix.linalg.Algebra_goal.json,hypotFunction(),hypotFunction,cern.colt.matrix.linalg.Algebra,Returns sqrt(a^2 + b^2) without under/overflow.,FreeText,,0
52,colt,cern.colt.matrix.linalg.Algebra_goal.json,inverse(cern.colt.matrix.DoubleMatrix2D A),inverse,cern.colt.matrix.linalg.Algebra,Returns the inverse or pseudo-inverse of matrix A.,FreeText,,0
53,colt,cern.colt.matrix.linalg.Algebra_goal.json,"mult(cern.colt.matrix.DoubleMatrix1D x, cern.colt.matrix.DoubleMatrix1D y)",mult,cern.colt.matrix.linalg.Algebra,Inner product of two vectors; Sum(x[i] * y[i]). Also known as dot product. <br> Equivalent to x.zDotProduct(y).,FreeText,methodResultID==args[0].zDotProduct(args[1]),1
54,colt,cern.colt.matrix.linalg.Algebra_goal.json,"mult(cern.colt.matrix.DoubleMatrix2D A, cern.colt.matrix.DoubleMatrix1D y)",mult,cern.colt.matrix.linalg.Algebra,"Linear algebraic matrix-vector multiplication; z = A * y. z[i] = Sum(A[i,j] * y[j]), i=0..A.rows()-1, j=0..y.size()-1.",FreeText,,0
55,colt,cern.colt.matrix.linalg.Algebra_goal.json,"mult(cern.colt.matrix.DoubleMatrix2D A, cern.colt.matrix.DoubleMatrix2D B)",mult,cern.colt.matrix.linalg.Algebra,"Linear algebraic matrix-matrix multiplication; C = A x B. C[i,j] = Sum(A[i,k] * B[k,j]), k=0..n-1. <br> Matrix shapes: A(m x n), B(n x p), C(m x p).",FreeText,,0
56,colt,cern.colt.matrix.linalg.Algebra_goal.json,"multOuter(cern.colt.matrix.DoubleMatrix1D x, cern.colt.matrix.DoubleMatrix1D y, cern.colt.matrix.DoubleMatrix2D A)",multOuter,cern.colt.matrix.linalg.Algebra,"Outer product of two vectors; Sets A[i,j] = x[i] * y[j].",FreeText,,0
57,colt,cern.colt.matrix.linalg.Algebra_goal.json,norm1(cern.colt.matrix.DoubleMatrix1D x),norm1,cern.colt.matrix.linalg.Algebra,"Returns the one-norm of vector x, which is Sum(abs(x[i])).",FreeText,,0
58,colt,cern.colt.matrix.linalg.Algebra_goal.json,norm1(cern.colt.matrix.DoubleMatrix2D A),norm1,cern.colt.matrix.linalg.Algebra,"Returns the one-norm of matrix A, which is the maximum absolute column sum.",FreeText,,0
59,colt,cern.colt.matrix.linalg.Algebra_goal.json,norm2(cern.colt.matrix.DoubleMatrix1D x),norm2,cern.colt.matrix.linalg.Algebra,"Returns the two-norm (aka euclidean norm) of vector x; equivalent to mult(x,x).",FreeText,"methodResultID==(receiverObjectClone.mult(args[0],args[0]))",1
60,colt,cern.colt.matrix.linalg.Algebra_goal.json,norm2(cern.colt.matrix.DoubleMatrix2D A),norm2,cern.colt.matrix.linalg.Algebra,"Returns the two-norm of matrix A, which is the maximum singular value; obtained from SVD.",FreeText,,0
61,colt,cern.colt.matrix.linalg.Algebra_goal.json,normF(cern.colt.matrix.DoubleMatrix2D A),normF,cern.colt.matrix.linalg.Algebra,"Returns the Frobenius norm of matrix A, which is Sqrt(Sum(A[i,j]<sup>2</sup>)).",FreeText,,0
62,colt,cern.colt.matrix.linalg.Algebra_goal.json,normInfinity(cern.colt.matrix.DoubleMatrix1D x),normInfinity,cern.colt.matrix.linalg.Algebra,"Returns the infinity norm of vector x, which is Max(abs(x[i])).",FreeText,,0
63,colt,cern.colt.matrix.linalg.Algebra_goal.json,normInfinity(cern.colt.matrix.DoubleMatrix2D A),normInfinity,cern.colt.matrix.linalg.Algebra,"Returns the infinity norm of matrix A, which is the maximum absolute row sum.",FreeText,,0
64,colt,cern.colt.matrix.linalg.Algebra_goal.json,"permute(cern.colt.matrix.DoubleMatrix1D A, int[] indexes, double[] work)",permute,cern.colt.matrix.linalg.Algebra,,FreeText,,0
65,colt,cern.colt.matrix.linalg.Algebra_goal.json,"permute(cern.colt.matrix.DoubleMatrix2D A, int[] rowIndexes, int[] columnIndexes)",permute,cern.colt.matrix.linalg.Algebra,,FreeText,,0
66,colt,cern.colt.matrix.linalg.Algebra_goal.json,"permuteColumns(cern.colt.matrix.DoubleMatrix2D A, int[] indexes, int[] work)",permuteColumns,cern.colt.matrix.linalg.Algebra,,FreeText,,0
67,colt,cern.colt.matrix.linalg.Algebra_goal.json,"permuteRows(cern.colt.matrix.DoubleMatrix2D A, int[] indexes, int[] work)",permuteRows,cern.colt.matrix.linalg.Algebra,,FreeText,,0
68,colt,cern.colt.matrix.linalg.Algebra_goal.json,"pow(cern.colt.matrix.DoubleMatrix2D A, int p)",pow,cern.colt.matrix.linalg.Algebra,"Linear algebraic matrix power; B = A<sup>k</sup> <==> B = A*A*...*A.  <li><tt>p >= 1: B = A*A*...*A</tt>.</li> <li><tt>p == 0: B = identity matrix</tt>.</li> <li><tt>p < 0: B = pow(inverse(A),-p)</tt>.</li>  Implementation: Based on logarithms of 2, memory usage minimized.",FreeText,,0
69,colt,cern.colt.matrix.linalg.Algebra_goal.json,property(),property,cern.colt.matrix.linalg.Algebra,"Returns the property object attached to this Algebra, defining tolerance.",FreeText,,0
70,colt,cern.colt.matrix.linalg.Algebra_goal.json,rank(cern.colt.matrix.DoubleMatrix2D A),rank,cern.colt.matrix.linalg.Algebra,"Returns the effective numerical rank of matrix A, obtained from Singular Value Decomposition.",FreeText,,0
71,colt,cern.colt.matrix.linalg.Algebra_goal.json,setProperty(cern.colt.matrix.linalg.Property property),setProperty,cern.colt.matrix.linalg.Algebra,"Attaches the given property object to this Algebra, defining tolerance.",FreeText,,0
72,colt,cern.colt.matrix.linalg.Algebra_goal.json,"solve(cern.colt.matrix.DoubleMatrix2D A, cern.colt.matrix.DoubleMatrix2D B)",solve,cern.colt.matrix.linalg.Algebra,Solves A*X = B.,FreeText,,0
73,colt,cern.colt.matrix.linalg.Algebra_goal.json,"solveTranspose(cern.colt.matrix.DoubleMatrix2D A, cern.colt.matrix.DoubleMatrix2D B)",solveTranspose,cern.colt.matrix.linalg.Algebra,"Solves X*A = B, which is also A'*X' = B'.",FreeText,,0
74,colt,cern.colt.matrix.linalg.Algebra_goal.json,"subMatrix(cern.colt.matrix.DoubleMatrix2D A, int fromRow, int toRow, int fromColumn, int toColumn)",subMatrix,cern.colt.matrix.linalg.Algebra,,FreeText,,0
75,colt,cern.colt.matrix.linalg.Algebra_goal.json,toString(cern.colt.matrix.DoubleMatrix2D matrix),toString,cern.colt.matrix.linalg.Algebra,,FreeText,,0
76,colt,cern.colt.matrix.linalg.Algebra_goal.json,toVerboseString(cern.colt.matrix.DoubleMatrix2D matrix),toVerboseString,cern.colt.matrix.linalg.Algebra,,FreeText,,0
77,colt,cern.colt.matrix.linalg.Algebra_goal.json,trace(cern.colt.matrix.DoubleMatrix2D A),trace,cern.colt.matrix.linalg.Algebra,"Returns the sum of the diagonal elements of matrix A; Sum(A[i,i]).",FreeText,,0
78,colt,cern.colt.matrix.linalg.Algebra_goal.json,transpose(cern.colt.matrix.DoubleMatrix2D A),transpose,cern.colt.matrix.linalg.Algebra,,FreeText,,0
79,colt,cern.colt.matrix.linalg.Algebra_goal.json,trapezoidalLower(cern.colt.matrix.DoubleMatrix2D A),trapezoidalLower,cern.colt.matrix.linalg.Algebra,,FreeText,,0
80,colt,cern.colt.matrix.linalg.Property_goal.json,cern.colt.matrix.linalg.Property(double newTolerance),cern.colt.matrix.linalg.Property,cern.colt.matrix.linalg.Property,Constructs an instance with a tolerance of Math.abs(newTolerance).,FreeText,,0
81,colt,cern.colt.matrix.linalg.Property_goal.json,blanks(int length),blanks,cern.colt.matrix.linalg.Property,Returns a String with length blanks.,FreeText,,0
82,colt,cern.colt.matrix.linalg.Property_goal.json,checkRectangular(cern.colt.matrix.DoubleMatrix2D A),checkRectangular,cern.colt.matrix.linalg.Property,Checks whether the given matrix A is rectangular.,FreeText,,0
83,colt,cern.colt.matrix.linalg.Property_goal.json,checkSquare(cern.colt.matrix.DoubleMatrix2D A),checkSquare,cern.colt.matrix.linalg.Property,Checks whether the given matrix A is square.,FreeText,,0
84,colt,cern.colt.matrix.linalg.Property_goal.json,density(cern.colt.matrix.DoubleMatrix2D A),density,cern.colt.matrix.linalg.Property,Returns the matrix's fraction of non-zero cells; A.cardinality() / A.size().,FreeText,,0
85,colt,cern.colt.matrix.linalg.Property_goal.json,"equals(cern.colt.matrix.DoubleMatrix1D A, double value)",equals,cern.colt.matrix.linalg.Property,Returns whether all cells of the given matrix A are equal to the given value. The result is true if and only if A != null and ! (Math.abs(value - A[i]) > tolerance()) holds for all coordinates.,FreeText,,0
86,colt,cern.colt.matrix.linalg.Property_goal.json,"equals(cern.colt.matrix.DoubleMatrix1D A, cern.colt.matrix.DoubleMatrix1D B)",equals,cern.colt.matrix.linalg.Property,"Returns whether both given matrices A and B are equal. The result is true if A==B. Otherwise, the result is true if and only if both arguments are != null, have the same size and ! (Math.abs(A[i] - B[i]) > tolerance()) holds for all indexes.",FreeText,,0
87,colt,cern.colt.matrix.linalg.Property_goal.json,"equals(cern.colt.matrix.DoubleMatrix2D A, double value)",equals,cern.colt.matrix.linalg.Property,"Returns whether all cells of the given matrix A are equal to the given value. The result is true if and only if A != null and ! (Math.abs(value - A[row,col]) > tolerance()) holds for all coordinates.",FreeText,,0
88,colt,cern.colt.matrix.linalg.Property_goal.json,"equals(cern.colt.matrix.DoubleMatrix2D A, cern.colt.matrix.DoubleMatrix2D B)",equals,cern.colt.matrix.linalg.Property,"Returns whether both given matrices A and B are equal. The result is true if A==B. Otherwise, the result is true if and only if both arguments are != null, have the same number of columns and rows and ! (Math.abs(A[row,col] - B[row,col]) > tolerance()) holds for all coordinates.",FreeText,,0
89,colt,cern.colt.matrix.linalg.Property_goal.json,"equals(cern.colt.matrix.DoubleMatrix3D A, double value)",equals,cern.colt.matrix.linalg.Property,"Returns whether all cells of the given matrix A are equal to the given value. The result is true if and only if A != null and ! (Math.abs(value - A[slice,row,col]) > tolerance()) holds for all coordinates.",FreeText,,0
90,colt,cern.colt.matrix.linalg.Property_goal.json,"equals(cern.colt.matrix.DoubleMatrix3D A, cern.colt.matrix.DoubleMatrix3D B)",equals,cern.colt.matrix.linalg.Property,"Returns whether both given matrices A and B are equal. The result is true if A==B. Otherwise, the result is true if and only if both arguments are != null, have the same number of columns, rows and slices, and ! (Math.abs(A[slice,row,col] - B[slice,row,col]) > tolerance()) holds for all coordinates.",FreeText,,0
91,colt,cern.colt.matrix.linalg.Property_goal.json,generateNonSingular(cern.colt.matrix.DoubleMatrix2D A),generateNonSingular,cern.colt.matrix.linalg.Property,,FreeText,,0
92,colt,cern.colt.matrix.linalg.Property_goal.json,"get(cern.colt.list.ObjectArrayList list, int index)",get,cern.colt.matrix.linalg.Property,,FreeText,,0
93,colt,cern.colt.matrix.linalg.Property_goal.json,isDiagonal(cern.colt.matrix.DoubleMatrix2D A),isDiagonal,cern.colt.matrix.linalg.Property,"A matrix A is diagonal if A[i,j] == 0 whenever i != j. Matrix may but need not be square.",FreeText,,0
94,colt,cern.colt.matrix.linalg.Property_goal.json,isDiagonallyDominantByColumn(cern.colt.matrix.DoubleMatrix2D A),isDiagonallyDominantByColumn,cern.colt.matrix.linalg.Property,"A matrix A is diagonally dominant by column if the absolute value of each diagonal element is larger than the sum of the absolute values of the off-diagonal elements in the corresponding column. returns true if for all i: abs(A[i,i]) > Sum(abs(A[j,i])); j != i. Matrix may but need not be square.  Note: Ignores tolerance.",FreeText,,0
95,colt,cern.colt.matrix.linalg.Property_goal.json,isDiagonallyDominantByRow(cern.colt.matrix.DoubleMatrix2D A),isDiagonallyDominantByRow,cern.colt.matrix.linalg.Property,"A matrix A is diagonally dominant by row if the absolute value of each diagonal element is larger than the sum of the absolute values of the off-diagonal elements in the corresponding row. returns true if for all i: abs(A[i,i]) > Sum(abs(A[i,j])); j != i. Matrix may but need not be square.  Note: Ignores tolerance.",FreeText,,0
96,colt,cern.colt.matrix.linalg.Property_goal.json,isIdentity(cern.colt.matrix.DoubleMatrix2D A),isIdentity,cern.colt.matrix.linalg.Property,"A matrix A is an identity matrix if A[i,i] == 1 and all other cells are zero. Matrix may but need not be square.",FreeText,,0
97,colt,cern.colt.matrix.linalg.Property_goal.json,isLowerBidiagonal(cern.colt.matrix.DoubleMatrix2D A),isLowerBidiagonal,cern.colt.matrix.linalg.Property,"A matrix A is lower bidiagonal if A[i,j]==0 unless i==j || i==j+1. Matrix may but need not be square.",FreeText,,0
98,colt,cern.colt.matrix.linalg.Property_goal.json,isLowerTriangular(cern.colt.matrix.DoubleMatrix2D A),isLowerTriangular,cern.colt.matrix.linalg.Property,"A matrix A is lower triangular if A[i,j]==0 whenever i < j. Matrix may but need not be square.",FreeText,,0
99,colt,cern.colt.matrix.linalg.Property_goal.json,isNonNegative(cern.colt.matrix.DoubleMatrix2D A),isNonNegative,cern.colt.matrix.linalg.Property,"A matrix A is non-negative if A[i,j] >= 0 holds for all cells.  Note: Ignores tolerance.",FreeText,,0
100,colt,cern.colt.matrix.linalg.Property_goal.json,isOrthogonal(cern.colt.matrix.DoubleMatrix2D A),isOrthogonal,cern.colt.matrix.linalg.Property,A square matrix A is orthogonal if A*transpose(A) = I.,FreeText,,0
101,colt,cern.colt.matrix.linalg.Property_goal.json,isPositive(cern.colt.matrix.DoubleMatrix2D A),isPositive,cern.colt.matrix.linalg.Property,"A matrix A is positive if A[i,j] > 0 holds for all cells.  Note: Ignores tolerance.",FreeText,,0
102,colt,cern.colt.matrix.linalg.Property_goal.json,isSingular(cern.colt.matrix.DoubleMatrix2D A),isSingular,cern.colt.matrix.linalg.Property,"A matrix A is singular if it has no inverse, that is, iff det(A)==0.",FreeText,,0
103,colt,cern.colt.matrix.linalg.Property_goal.json,isSkewSymmetric(cern.colt.matrix.DoubleMatrix2D A),isSkewSymmetric,cern.colt.matrix.linalg.Property,"A square matrix A is skew-symmetric if A = -transpose(A), that is A[i,j] == -A[j,i].",FreeText,,0
